country_code,event_id,indicator_slug,rows,min_relative_day,max_relative_day,peak_abs_z
ARG,ARG_2018_06,dolar_blue,546,-180,365,0.7054244266661374
ARG,ARG_2018_06,dolar_oficial,546,-180,365,0.6189940297194002
ARG,ARG_2018_08_30,dolar_blue,546,-180,365,0.7013883640761324
ARG,ARG_2018_08_30,dolar_oficial,546,-180,365,0.6145894861611145
ARG,ARG_2019_08_11,dolar_blue,522,-180,365,0.665063800766087
ARG,ARG_2019_08_11,dolar_oficial,522,-180,365,0.5727463223574011
ARG,ARG_2019_09_01,dolar_blue,516,-180,365,0.6630457694710844
ARG,ARG_2019_09_01,dolar_oficial,516,-180,365,0.5683417787991154
ARG,ARG_2019_10_27,dolar_blue,500,-180,365,0.6549736442910743
ARG,ARG_2019_10_27,dolar_oficial,500,-180,365,0.5639372352408298
ARG,ARG_2020_03,dolar_blue,460,-180,365,0.6186490809810289
ARG,ARG_2020_03,dolar_oficial,460,-180,365,0.5287008867745447
ARG,ARG_2020_05_22,dolar_blue,441,-180,364,0.6065408932110137
ARG,ARG_2020_05_22,dolar_oficial,441,-180,364,0.5198917996579735
ARG,ARG_2020_08_04,dolar_blue,420,-180,365,0.5863605802609885
ARG,ARG_2020_08_04,dolar_oficial,420,-180,365,0.5198917996579735
ARG,ARG_2022_03,dolar_blue,390,-180,365,0.3704312316957184
ARG,ARG_2022_03,dolar_oficial,390,-180,365,0.429598656713118
ARG,ARG_2022_07_02,dolar_blue,390,-180,363,0.3482328874506906
ARG,ARG_2022_07_02,dolar_oficial,390,-180,363,0.4207895695965468
ARG,ARG_2022_08_03,dolar_blue,390,-180,365,0.4085288481752558
ARG,ARG_2022_08_03,dolar_oficial,390,-180,365,0.4141827542591183
ARG,ARG_2023_08,dolar_blue,390,-180,365,2.285297952527604
ARG,ARG_2023_08,dolar_oficial,390,-180,365,1.503995965374274
ARG,ARG_2023_08_14,dolar_blue,390,-180,365,2.285297952527604
ARG,ARG_2023_08_14,dolar_oficial,390,-180,365,1.5017936935951313
ARG,ARG_2023_11_19,dolar_blue,390,-180,365,2.285297952527604
ARG,ARG_2023_11_19,dolar_oficial,390,-180,365,1.6141095543314148
ARG,ARG_2023_12,dolar_blue,390,-180,363,2.285297952527604
ARG,ARG_2023_12,dolar_oficial,390,-180,363,1.6515481745768428
ARG,ARG_2023_12_12,dolar_blue,390,-180,365,2.285297952527604
ARG,ARG_2023_12_12,dolar_oficial,390,-180,365,1.6493459027977
ARG,ARG_2023_12_20,dolar_blue,390,-180,365,2.285297952527604
ARG,ARG_2023_12_20,dolar_oficial,390,-180,365,1.6559527181351283
ARG,ARG_2024_01_24,dolar_blue,390,-180,365,2.285297952527604
ARG,ARG_2024_01_24,dolar_oficial,390,-180,365,1.7044026972762705
ARG,ARG_2024_04_30,dolar_blue,390,-180,365,2.285297952527604
ARG,ARG_2024_04_30,dolar_oficial,390,-180,365,2.0567661819391208
ARG,ARG_2024_06_12,dolar_blue,390,-180,365,2.285297952527604
ARG,ARG_2024_06_12,dolar_oficial,390,-180,365,2.0567661819391208
BRA,BRA_2016_08_31,cambio,377,-180,365,1.7485689913568945
BRA,BRA_2016_08_31,gasolina,17,-152,335,1.2052549518164497
BRA,BRA_2016_08_31,ipca,17,-152,335,1.700148993249216
BRA,BRA_2016_08_31,selic,377,-180,365,1.0489379365966276
BRA,BRA_2016_10_19,cambio,377,-180,365,1.7485689913568945
BRA,BRA_2016_10_19,gasolina,18,-171,347,1.2052549518164497
BRA,BRA_2016_10_19,ipca,18,-171,347,1.700148993249216
BRA,BRA_2016_10_19,selic,377,-180,365,1.0489379365966276
BRA,BRA_2016_12_15,cambio,376,-178,365,1.7485689913568945
BRA,BRA_2016_12_15,gasolina,18,-167,351,1.2052549518164497
BRA,BRA_2016_12_15,ipca,18,-167,351,1.700148993249216
BRA,BRA_2016_12_15,selic,376,-178,365,1.0489379365966276
BRA,BRA_2017_05_17,cambio,374,-180,365,1.7485689913568945
BRA,BRA_2017_05_17,gasolina,18,-167,349,1.2052549518164497
BRA,BRA_2017_05_17,ipca,18,-167,349,1.700148993249216
BRA,BRA_2017_05_17,selic,374,-180,365,0.992501222780518
BRA,BRA_2017_07_13,cambio,373,-178,365,1.7485689913568945
BRA,BRA_2017_07_13,gasolina,18,-162,353,1.2052549518164497
BRA,BRA_2017_07_13,ipca,18,-162,353,2.1668893914944145
BRA,BRA_2017_07_13,selic,373,-178,365,0.7656528472693831
BRA,BRA_2018_04_07,cambio,372,-180,363,1.6504366370385426
BRA,BRA_2018_04_07,gasolina,18,-157,359,0.9608247419620852
BRA,BRA_2018_04_07,ipca,18,-157,359,2.1668893914944145
BRA,BRA_2018_04_07,selic,372,-180,363,0.7595639225554133
BRA,BRA_2018_05_21,cambio,373,-180,365,1.6504366370385426
BRA,BRA_2018_05_21,gasolina,18,-171,345,0.9608247419620852
BRA,BRA_2018_05_21,ipca,18,-171,345,2.1668893914944145
BRA,BRA_2018_05_21,selic,373,-180,365,0.7595639225554133
BRA,BRA_2018_05_27,cambio,373,-180,365,1.6504366370385426
BRA,BRA_2018_05_27,gasolina,18,-177,339,0.9608247419620852
BRA,BRA_2018_05_27,ipca,18,-177,339,2.1668893914944145
BRA,BRA_2018_05_27,selic,373,-180,365,0.7595639225554133
BRA,BRA_2018_09_06,cambio,376,-178,365,1.5277990410061868
BRA,BRA_2018_09_06,gasolina,18,-158,360,0.890987539146553
BRA,BRA_2018_09_06,ipca,18,-158,360,2.1668893914944145
BRA,BRA_2018_09_06,selic,376,-178,365,0.8806663543835513
BRA,BRA_2018_10_28,cambio,377,-179,365,1.2141319470669367
BRA,BRA_2018_10_28,gasolina,18,-180,338,0.8211503363310206
BRA,BRA_2018_10_28,ipca,18,-180,338,2.1668893914944145
BRA,BRA_2018_10_28,selic,377,-179,365,1.0024167392979824
BRA,BRA_2019_11_08,cambio,377,-179,364,1.4662959465957444
BRA,BRA_2019_11_08,gasolina,18,-160,359,1.5544409658941123
BRA,BRA_2019_11_08,ipca,18,-160,359,2.0894481594985748
BRA,BRA_2019_11_08,selic,377,-179,364,1.8708682608563216
BRA,BRA_2019_11_12,cambio,377,-180,365,1.4662959465957444
BRA,BRA_2019_11_12,gasolina,18,-164,355,1.5544409658941123
BRA,BRA_2019_11_12,ipca,18,-164,355,2.0894481594985748
BRA,BRA_2019_11_12,selic,377,-180,365,1.8708682608563216
BRA,BRA_2020_03_11,cambio,374,-180,365,1.4662959465957444
BRA,BRA_2020_03_11,gasolina,18,-162,355,1.5544409658941123
BRA,BRA_2020_03_11,ipca,18,-162,355,2.40046889124403
BRA,BRA_2020_03_11,selic,374,-180,365,1.8708682608563216
BRA,BRA_2020_04_02,cambio,373,-178,364,1.4662959465957444
BRA,BRA_2020_04_02,gasolina,18,-153,364,1.5544409658941123
BRA,BRA_2020_04_02,ipca,18,-153,364,2.40046889124403
BRA,BRA_2020_04_02,selic,373,-178,364,1.8708682608563216
BRA,BRA_2021_02_19,cambio,376,-179,364,1.3576931708177724
BRA,BRA_2021_02_19,gasolina,18,-171,347,1.5544409658941123
BRA,BRA_2021_02_19,ipca,18,-171,347,2.40046889124403
BRA,BRA_2021_02_19,selic,376,-179,364,1.8708682608563216
BRA,BRA_2021_03_17,cambio,375,-180,365,1.3576931708177724
BRA,BRA_2021_03_17,gasolina,18,-167,349,1.5544409658941123
BRA,BRA_2021_03_17,ipca,18,-167,349,3.1012073904928754
BRA,BRA_2021_03_17,selic,375,-180,365,1.8708682608563216
BRA,BRA_2021_04_27,cambio,374,-180,365,1.3576931708177724
BRA,BRA_2021_04_27,gasolina,18,-177,339,1.5544409658941123
BRA,BRA_2021_04_27,ipca,18,-177,339,3.1012073904928754
BRA,BRA_2021_04_27,selic,374,-180,365,1.8708682608563216
BRA,BRA_2021_12_02,cambio,377,-178,365,1.2435210219229815
BRA,BRA_2021_12_02,gasolina,18,-154,364,1.1354177490009167
BRA,BRA_2021_12_02,ipca,18,-154,364,3.1012073904928754
BRA,BRA_2021_12_02,selic,377,-178,365,1.4950554708064543
BRA,BRA_2022_02_24,cambio,375,-178,365,1.2435210219229815
BRA,BRA_2022_02_24,gasolina,18,-176,342,0.8898611326495275
BRA,BRA_2022_02_24,ipca,18,-176,342,3.1012073904928754
BRA,BRA_2022_02_24,selic,375,-178,365,1.0634539200267712
BRA,BRA_2022_06_23,cambio,375,-178,365,1.206763159351976
BRA,BRA_2022_06_23,gasolina,18,-173,343,0.8898611326495275
BRA,BRA_2022_06_23,ipca,18,-173,343,3.1012073904928754
BRA,BRA_2022_06_23,selic,375,-178,365,0.9359997136557796
BRA,BRA_2022_07_14,cambio,375,-178,365,1.0030354907387349
BRA,BRA_2022_07_14,gasolina,18,-163,352,0.8898611326495275
BRA,BRA_2022_07_14,ipca,18,-163,352,3.1012073904928754
BRA,BRA_2022_07_14,selic,375,-178,365,0.9359997136557796
BRA,BRA_2022_10_30,cambio,377,-180,365,0.9514630956769896
BRA,BRA_2022_10_30,gasolina,17,-151,336,0.9946169368728266
BRA,BRA_2022_10_30,ipca,17,-151,336,2.8680464919972923
BRA,BRA_2022_10_30,selic,377,-180,365,0.9359997136557796
BRA,BRA_2022_12_09,cambio,375,-179,364,0.9514630956769896
BRA,BRA_2022_12_09,gasolina,18,-161,357,1.064454139688359
BRA,BRA_2022_12_09,ipca,18,-161,357,2.8680464919972923
BRA,BRA_2022_12_09,selic,375,-179,364,0.9359997136557796
BRA,BRA_2022_12_21,cambio,376,-180,365,0.9514630956769896
BRA,BRA_2022_12_21,gasolina,18,-173,345,1.064454139688359
BRA,BRA_2022_12_21,ipca,18,-173,345,2.8680464919972923
BRA,BRA_2022_12_21,selic,376,-180,365,0.9359997136557796
BRA,BRA_2023_01_08,cambio,374,-180,365,0.9514630956769896
BRA,BRA_2023_01_08,gasolina,18,-160,358,1.064454139688359
BRA,BRA_2023_01_08,ipca,18,-160,358,2.0375416039986605
BRA,BRA_2023_01_08,selic,374,-180,365,0.9359997136557796
BRA,BRA_2023_03_30,cambio,372,-178,364,0.9408812867550332
BRA,BRA_2023_03_30,gasolina,18,-180,337,1.064454139688359
BRA,BRA_2023_03_30,ipca,18,-180,337,1.3108498269998572
BRA,BRA_2023_03_30,selic,372,-178,364,0.9359997136557796
BRA,BRA_2023_05_16,cambio,374,-180,365,0.9408812867550332
BRA,BRA_2023_05_16,gasolina,18,-166,351,1.169209943911658
BRA,BRA_2023_05_16,ipca,18,-166,351,1.3108498269998572
BRA,BRA_2023_05_16,selic,374,-180,365,0.9359997136557796
BRA,BRA_2023_08_02,cambio,373,-180,365,1.1665522854485422
BRA,BRA_2023_08_02,gasolina,18,-154,365,1.3438029509504894
BRA,BRA_2023_08_02,ipca,18,-154,365,1.3108498269998572
BRA,BRA_2023_08_02,selic,373,-180,365,0.9359997136557796
BRA,BRA_2023_08_31,cambio,375,-178,365,1.27404118660315
BRA,BRA_2023_08_31,gasolina,17,-152,336,1.3438029509504894
BRA,BRA_2023_08_31,ipca,17,-152,336,1.3108498269998572
BRA,BRA_2023_08_31,selic,375,-178,365,0.9359997136557796
BRA,BRA_2023_12_20,cambio,377,-180,365,1.7413115911042705
BRA,BRA_2023_12_20,gasolina,18,-172,347,1.518395957989321
BRA,BRA_2023_12_20,ipca,18,-172,347,1.155130160500114
BRA,BRA_2023_12_20,selic,377,-180,365,0.9359997136557796
BRA,BRA_2024_09_18,cambio,377,-180,365,1.7686015193766833
BRA,BRA_2024_09_18,gasolina,18,-170,348,1.6929889650281522
BRA,BRA_2024_09_18,ipca,18,-170,348,2.296655780244201
BRA,BRA_2024_09_18,selic,377,-180,365,1.2174057390327748
BRA,BRA_2024_10,cambio,378,-180,365,1.7686015193766833
BRA,BRA_2024_10,gasolina,18,-168,350,1.7628261678436845
BRA,BRA_2024_10,ipca,18,-168,350,2.296655780244201
BRA,BRA_2024_10,selic,378,-180,365,1.2174057390327748
USA,USA_2016_11_08,cpi,18,-160,358,1.233750713340939
USA,USA_2016_11_08,fed_funds,18,-160,358,0.9888122961504396
USA,USA_2016_11_08,gasoline,78,-176,363,1.228120287765265
USA,USA_2016_11_08,real_gdp,6,-130,327,1.3861353638459102
USA,USA_2016_11_08,unemployment,18,-160,358,0.2502132437477375
USA,USA_2016_12_14,cpi,18,-166,352,1.233750713340939
USA,USA_2016_12_14,fed_funds,18,-166,352,0.9835202282869868
USA,USA_2016_12_14,gasoline,78,-177,362,1.228120287765265
USA,USA_2016_12_14,real_gdp,6,-166,291,1.3861353638459102
USA,USA_2016_12_14,unemployment,18,-166,352,0.2804113938552217
USA,USA_2017_03_15,cpi,18,-165,351,1.178675006456296
USA,USA_2017_03_15,fed_funds,18,-165,351,0.978228160423534
USA,USA_2017_03_15,gasoline,78,-177,362,1.2201826976303898
USA,USA_2017_03_15,real_gdp,6,-165,292,1.31967179986368
USA,USA_2017_03_15,unemployment,18,-165,351,0.339369686922217
USA,USA_2017_12_22,cpi,18,-174,344,1.094650970709116
USA,USA_2017_12_22,fed_funds,18,-174,344,0.5813230706645695
USA,USA_2017_12_22,gasoline,78,-179,360,1.0519057867710306
USA,USA_2017_12_22,real_gdp,6,-174,283,1.0970643920680658
USA,USA_2017_12_22,unemployment,18,-174,344,0.5162445661232032
USA,USA_2018_03,cpi,18,-166,350,1.014623281985882
USA,USA_2018_03,fed_funds,18,-166,350,0.5813230706645695
USA,USA_2018_03,gasoline,78,-179,360,1.088418701391457
USA,USA_2018_03,real_gdp,6,-166,291,0.9586672329671364
USA,USA_2018_03,unemployment,18,-166,350,0.5162445661232032
USA,USA_2018_07_06,cpi,18,-155,360,0.9171325642504444
USA,USA_2018_07_06,fed_funds,18,-155,360,0.4384372383513422
USA,USA_2018_07_06,gasoline,78,-179,360,1.088418701391457
USA,USA_2018_07_06,real_gdp,6,-96,360,0.7912035850526573
USA,USA_2018_07_06,unemployment,18,-155,360,0.5752028591901988
USA,USA_2018_12_19,cpi,18,-171,347,0.8605456337012841
USA,USA_2018_12_19,fed_funds,18,-171,347,0.369640356126455
USA,USA_2018_12_19,gasoline,78,-177,362,1.088418701391457
USA,USA_2018_12_19,real_gdp,6,-171,286,0.7127082010415435
USA,USA_2018_12_19,unemployment,18,-171,347,0.6341611522571943
USA,USA_2019_07_31,cpi,18,-180,336,0.7898539489499595
USA,USA_2019_07_31,fed_funds,18,-180,336,1.163450535644384
USA,USA_2019_07_31,gasoline,78,-177,362,1.8250270659078984
USA,USA_2019_07_31,real_gdp,6,-121,336,1.461050681806071
USA,USA_2019_07_31,unemployment,18,-180,336,6.0281259643132925
USA,USA_2020_03,cpi,18,-167,350,0.7064679854166863
USA,USA_2020_03,fed_funds,18,-167,350,1.163450535644384
USA,USA_2020_03,gasoline,78,-175,364,1.8250270659078984
USA,USA_2020_03,real_gdp,6,-167,291,1.461050681806071
USA,USA_2020_03,unemployment,18,-167,350,6.0281259643132925
USA,USA_2020_03_03,cpi,18,-154,363,0.7064679854166863
USA,USA_2020_03_03,fed_funds,18,-154,363,1.163450535644384
USA,USA_2020_03_03,gasoline,78,-176,363,1.8250270659078984
USA,USA_2020_03_03,real_gdp,6,-154,304,1.461050681806071
USA,USA_2020_03_03,unemployment,18,-154,363,6.0281259643132925
USA,USA_2020_03_15,cpi,18,-166,351,0.7064679854166863
USA,USA_2020_03_15,fed_funds,18,-166,351,1.163450535644384
USA,USA_2020_03_15,gasoline,78,-174,365,1.8250270659078984
USA,USA_2020_03_15,real_gdp,6,-166,292,1.461050681806071
USA,USA_2020_03_15,unemployment,18,-166,351,6.0281259643132925
USA,USA_2020_03_27,cpi,18,-178,339,0.7064679854166863
USA,USA_2020_03_27,fed_funds,18,-178,339,1.163450535644384
USA,USA_2020_03_27,gasoline,78,-179,360,1.8250270659078984
USA,USA_2020_03_27,real_gdp,6,-178,280,1.461050681806071
USA,USA_2020_03_27,unemployment,18,-178,339,6.0281259643132925
USA,USA_2020_11_03,cpi,18,-155,363,0.6648253777722011
USA,USA_2020_11_03,fed_funds,18,-155,363,1.1581584677809311
USA,USA_2020_11_03,gasoline,78,-176,363,1.7012006598038412
USA,USA_2020_11_03,real_gdp,6,-125,332,0.5361251280729862
USA,USA_2020_11_03,unemployment,18,-155,363,3.787710827767465
USA,USA_2020_12_27,cpi,18,-179,339,0.6208319777606875
USA,USA_2020_12_27,fed_funds,18,-179,339,1.1581584677809311
USA,USA_2020_12_27,gasoline,78,-174,365,1.3122587431949446
USA,USA_2020_12_27,real_gdp,6,-179,278,0.5361251280729862
USA,USA_2020_12_27,unemployment,18,-179,339,3.316044483231501
USA,USA_2021_01_06,cpi,18,-158,360,0.5884582085919099
USA,USA_2021_01_06,fed_funds,18,-158,360,1.1581584677809311
USA,USA_2021_01_06,gasoline,78,-177,362,1.3122587431949446
USA,USA_2021_01_06,real_gdp,6,-97,360,0.3905753317746524
USA,USA_2021_01_06,unemployment,18,-158,360,2.254795208025583
USA,USA_2021_03_11,cpi,18,-161,355,0.5547747122472153
USA,USA_2021_03_11,fed_funds,18,-161,355,1.1581584677809311
USA,USA_2021_03_11,gasoline,78,-178,361,1.8723024189170825
USA,USA_2021_03_11,real_gdp,6,-161,296,0.3905753317746524
USA,USA_2021_03_11,unemployment,18,-161,355,1.3704208120206514
USA,USA_2021_11_15,cpi,18,-167,351,0.7370528589305592
USA,USA_2021_11_15,fed_funds,18,-167,351,1.1475743320540257
USA,USA_2021_11_15,gasoline,78,-175,364,3.307418715302562
USA,USA_2021_11_15,real_gdp,6,-137,320,0.5378109941127104
USA,USA_2021_11_15,unemployment,18,-167,351,0.7808378813506969
USA,USA_2022_03,cpi,18,-166,350,0.8389764994152494
USA,USA_2022_03,fed_funds,18,-166,350,1.2709006815439317
USA,USA_2022_03,gasoline,78,-177,362,3.307418715302562
USA,USA_2022_03,real_gdp,6,-166,291,0.6385312682768453
USA,USA_2022_03,unemployment,18,-166,350,0.6341611522571943
USA,USA_2022_03_16,cpi,18,-166,350,0.8389764994152494
USA,USA_2022_03_16,fed_funds,18,-166,350,1.2709006815439317
USA,USA_2022_03_16,gasoline,78,-177,362,3.307418715302562
USA,USA_2022_03_16,real_gdp,6,-166,291,0.6385312682768453
USA,USA_2022_03_16,unemployment,18,-166,350,0.6341611522571943
USA,USA_2022_06_15,cpi,18,-165,351,0.9126234659994082
USA,USA_2022_06_15,fed_funds,18,-165,351,1.4984595996724046
USA,USA_2022_06_15,gasoline,78,-177,362,3.307418715302562
USA,USA_2022_06_15,real_gdp,6,-165,290,0.7265289420470664
USA,USA_2022_06_15,unemployment,18,-165,351,0.6931194453241898
USA,USA_2022_08_16,cpi,18,-168,350,0.982072589071018
USA,USA_2022_08_16,fed_funds,18,-168,350,1.630761296258726
USA,USA_2022_08_16,gasoline,78,-176,363,3.307418715302562
USA,USA_2022_08_16,real_gdp,6,-137,319,0.8892245815468609
USA,USA_2022_08_16,unemployment,18,-168,350,0.6931194453241898
USA,USA_2023_03_10,cpi,18,-160,357,1.1924013404237737
USA,USA_2023_03_10,fed_funds,18,-160,357,1.630761296258726
USA,USA_2023_03_10,gasoline,78,-179,360,1.570673993791815
USA,USA_2023_03_10,real_gdp,6,-160,297,1.0398284417817445
USA,USA_2023_03_10,unemployment,18,-160,357,0.6931194453241898
USA,USA_2023_05_01,cpi,17,-151,336,1.2151704436358393
USA,USA_2023_05_01,fed_funds,17,-151,336,1.630761296258726
USA,USA_2023_05_01,gasoline,78,-175,364,1.5166983808746624
USA,USA_2023_05_01,real_gdp,6,-120,336,1.167484778154441
USA,USA_2023_05_01,unemployment,17,-151,336,0.6931194453241898
USA,USA_2023_06_03,cpi,18,-153,364,1.2202750213470983
USA,USA_2023_06_03,fed_funds,18,-153,364,1.630761296258726
USA,USA_2023_06_03,gasoline,78,-180,359,1.5166983808746624
USA,USA_2023_06_03,real_gdp,6,-153,303,1.167484778154441
USA,USA_2023_06_03,unemployment,18,-153,364,0.6931194453241898
USA,USA_2023_07_26,cpi,18,-175,341,1.233506624098653
USA,USA_2023_07_26,fed_funds,18,-175,341,1.630761296258726
USA,USA_2023_07_26,gasoline,78,-177,362,1.5166983808746624
USA,USA_2023_07_26,real_gdp,6,-116,341,1.2874419738763845
USA,USA_2023_07_26,unemployment,18,-175,341,0.6931194453241898
USA,USA_2024_09_18,cpi,18,-170,348,1.5920360428184366
USA,USA_2024_09_18,fed_funds,18,-170,348,1.630761296258726
USA,USA_2024_09_18,gasoline,78,-177,362,1.183319595209894
USA,USA_2024_09_18,real_gdp,6,-170,286,1.6298741674143886
USA,USA_2024_09_18,unemployment,18,-170,348,0.3983279799892125
USA,USA_2024_11,cpi,17,-167,351,1.6195067307645563
USA,USA_2024_11,fed_funds,18,-167,351,1.630761296258726
USA,USA_2024_11,gasoline,78,-179,360,1.0499680809439864
USA,USA_2024_11,real_gdp,6,-137,320,1.6479337643898453
USA,USA_2024_11,unemployment,17,-167,351,0.339369686922217
